127.0.0.1 - - [11/Aug/2021:20:07:47 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:07:48 +0530] "GET /Shopping_cart_Project/login.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:07:48 +0530] "GET /Shopping_cart_Project/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:07:49 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:07:51 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:07:52 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:07:52 +0530] "GET /Shopping_cart_Project/css/home-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:07:55 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:17:00 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3118
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:17:13 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3118
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:17:16 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3118
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:17:18 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:17:24 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3118
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:35:40 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 500 5669
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:37:23 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:40:52 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:41:30 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [11/Aug/2021:20:48:23 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:05:22 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:05:25 +0530] "GET /Shopping_cart_Project/incDecQuantityAction.jsp?id=1&quantity=inc HTTP/1.1" 500 2310
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:06:25 +0530] "GET /Shopping_cart_Project/login.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:06:29 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:06:29 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:06:35 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:06:37 +0530] "GET /Shopping_cart_Project/incDecQuantityAction.jsp?id=2&quantity=inc HTTP/1.1" 500 2310
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:08 +0530] "GET /Shopping_cart_Project/incDecQuantityAction.jsp?id=2&quantity=inc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:08 +0530] "GET /Shopping_cart_Project/myCart.jsp?msg=inc HTTP/1.1" 200 3986
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:15 +0530] "GET /Shopping_cart_Project/incDecQuantityAction.jsp?id=2&quantity=inc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:15 +0530] "GET /Shopping_cart_Project/myCart.jsp?msg=inc HTTP/1.1" 200 3986
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:19 +0530] "GET /Shopping_cart_Project/incDecQuantityAction.jsp?id=2&quantity=dec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:19 +0530] "GET /Shopping_cart_Project/myCart.jsp?msg=dec HTTP/1.1" 200 3986
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:21 +0530] "GET /Shopping_cart_Project/incDecQuantityAction.jsp?id=1&quantity=dec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:21 +0530] "GET /Shopping_cart_Project/myCart.jsp?msg=dec HTTP/1.1" 200 3986
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:22 +0530] "GET /Shopping_cart_Project/incDecQuantityAction.jsp?id=1&quantity=dec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:22 +0530] "GET /Shopping_cart_Project/myCart.jsp?msg=notPossible HTTP/1.1" 200 4056
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:28 +0530] "GET /Shopping_cart_Project/incDecQuantityAction.jsp?id=1&quantity=dec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:07:28 +0530] "GET /Shopping_cart_Project/myCart.jsp?msg=notPossible HTTP/1.1" 200 4056
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:14:52 +0530] "GET /Shopping_cart_Project/myCart.jsp?msg=notPossible HTTP/1.1" 200 4056
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:14:55 +0530] "GET /Shopping_cart_Project/removeFromCart.jsp?id=1 HTTP/1.1" 500 2298
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:15:11 +0530] "GET /Shopping_cart_Project/removeFromCart.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:21:15:11 +0530] "GET /Shopping_cart_Project/myCart.jsp?msg=removed HTTP/1.1" 200 3336
